,strasbourg_metropole_quotient_familial,uid,cout_cantine
4912,590,36900590,367.2
2685,692,37000692,344.5
2686,878,37000878,35.2
7245,1795,37101795,856.80005
7567,781,37200781,505.4
2755,452,37300452,277.35
1083,424,37400424,584.80005
1844,274,37500274,204.0
346,483,37600483,391.30002
6157,926,37700926,693.6
6286,503,37800503,0.0
2943,301,37900301,204.0
2368,593,38000593,37.8
6264,638,38100638,201.5
2274,1691,38201691,850.5
1454,662,38300662,711.75
589,396,38400396,49.5
590,426,38400426,133.3
1470,574,38500574,183.6
452,353,38600353,0.0
4024,788,38700788,497.8
694,1353,38801353,133.40001
695,1711,38801711,699.30005
100,523,38900523,356.4
5517,749,39000749,452.19998
15160,686,39100686,367.25
12952,825,39200825,484.0
488,625,39300625,42.25
4331,378,39400378,391.5
859,524,39500524,10.8
8285,1018,39601018,673.2
4020,1558,39701558,819.0
409,289,39800289,135.0
1465,802,39900802,475.0
1421,1166,40001166,348.0
2534,360,40100360,0.0
2286,3430,40203430,903.9
3447,396,40300396,237.0
1510,276,40400276,117.0
403,460,40500460,15.050001
5283,1426,40601426,788.80005
4289,397,40700397,45.0
1404,709,40800709,312.0
2622,1095,40901095,655.4
572,952,41000952,606.89996
363,631,41100631,68.25
246,552,41200552,54.0
7754,392,41300392,165.0
1909,274,41400274,204.0
2456,556,41500556,8.1
1573,667,41600667,0.0
7508,1335,41701335,783.0
3868,821,41800821,585.2
3899,981,41900981,102.0
42,493,42000493,279.5
2102,1743,42101743,422.1
307,1309,42201309,788.80005
6413,693,42300693,0.0
5018,627,42400627,29.25
8896,819,42500819,76.0
373,507,42600507,281.65002
5991,579,42700579,367.2
10063,1091,42801091,394.40002
3404,571,42900571,342.9
4432,494,43000494,139.75
963,99999,43199999,731.4
1291,1338,43201338,469.80002
11,1458,43301458,788.80005
2422,99999,43499999,938.4
12514,617,43500617,307.80002
3627,460,43600460,113.950005
3628,511,43600511,224.1
179,598,43700598,369.9
2105,4496,43804496,938.4
1056,1691,43901691,541.8
3988,1107,44001107,1467.4
2985,859,44100859,431.2
97,642,44200642,403.0
7057,379,44300379,93.0
7058,1030,44301030,280.5
3086,639,44400639,0.0
7018,888,44500888,140.8
2585,710,44600710,403.0
3925,501,44700501,150.5
225,988,44800988,51.0
2468,529,44900529,683.10004
3822,528,45000528,855.9
251,752,45100752,7.6
1240,559,45200559,661.5
2360,99999,45399999,924.60004
2616,1246,45401246,574.2
1646,413,45500413,563.30005
9098,689,45600689,438.75
12537,520,45700520,364.5
13013,645,45800645,224.25
733,754,45900754,250.8
734,822,45900822,118.8
2495,869,46000869,572.0
1081,1015,46101015,428.4
1306,299,46200299,271.5
774,99999,46399999,0.0
7967,390,46400390,202.5
4232,1203,46501203,487.2
2918,531,46600531,337.5
1356,444,46700444,823.4501
887,976,46800976,663.0
284,856,46900856,598.4
7878,663,47000663,442.0
10649,290,47100290,133.5
6539,99999,47299999,938.4
53,854,47300854,154.0
911,2257,47402257,938.4
1659,1122,47501122,348.0
3495,482,47600482,264.45
6098,252,47700252,198.0
562,568,47800568,329.4
6872,436,47900436,481.60004
1242,1715,48001715,636.30005
1640,1450,48101450,777.2
8327,466,48200466,83.850006
4345,408,48300408,0.0
8242,537,48400537,353.7
2638,585,48500585,16.2
11263,596,48600596,286.2
4485,385,48700385,175.5
10621,2393,48802393,483.0
14736,1105,48901105,777.2
1459,486,49000486,326.80002
3048,492,49100492,19.35
3113,2293,49202293,876.3
3608,597,49300597,221.40001
677,1097,49401097,388.6
124,289,49500289,96.0
287,331,49600331,184.5
1,636,49700636,1264.25
1302,626,49800626,19.5
863,516,49900516,1096.2
12961,1083,50001083,649.60004
13734,281,50100281,202.5
2304,382,50200382,406.5
4553,397,50300397,60.0
3995,1411,50401411,777.2
2443,509,50500509,219.30002
5891,1527,50601527,539.4
6760,474,50700474,756.80005
400,727,50800727,357.19998
2775,581,50900581,610.2
3813,1500,51001500,174.0
13372,417,51100417,94.600006
2117,775,51200775,440.8
1377,405,51300405,96.0
1511,605,51400605,353.7
1071,823,51500823,70.4
1353,1049,51601049,0.0
2571,643,51700643,0.0
11512,310,51800310,252.0
11826,4525,51904525,931.5
8113,725,52000725,429.4
601,699,52100699,107.25
491,2075,52202075,938.4
7941,303,52300303,10.5
2221,1223,52401223,145.0
3118,479,52500479,34.4
15,1506,52601506,643.80005
3342,404,52700404,33.0
3343,740,52700740,87.4
6502,776,52800776,516.8
68,718,52900718,143.0
5063,415,53000415,311.75
14544,428,53100428,249.40001
4138,342,53200342,199.5
1318,958,53300958,15.299999
1164,417,53400417,479.45
2850,386,53500386,370.5
86,718,53600718,3.25
1484,1079,53701079,1577.6001
1652,508,53800508,249.40001
1782,99999,53999999,690.0
3385,639,54000639,412.75
1603,471,54100471,64.5
2158,627,54200627,435.5
6086,571,54300571,218.7
12083,317,54400317,6.0
69,2714,54502714,496.80002
519,1356,54601356,742.4
3841,992,54700992,678.3
742,503,54800503,107.50001
1441,335,54900335,535.5
933,657,55000657,133.25
2063,1249,55101249,0.0
6744,361,55200361,178.5
1777,405,55300405,87.0
1737,548,55400548,356.4
