Id Personne;Id Famille;QF;Type repas;Nombre;id gale ou non ;type de repas simplifi par tarif identique 
1771;3092;487;Repas Halal;13;;Repas Standard
1772;1158;1515;Repas Standard;131;;Repas Standard
1773;709;1369;Repas Standard;136;;Repas Standard
1774;3093;1502;Repas Standard;134;;Repas Standard
1775;3097;198;Repas Standard;38;oui;Repas Standard
1775;3097;951;Repas Standard;66;;Repas Standard
1776;3098;794;Repas Standard;136;;Repas Standard
1777;3096;398;Repas Halal;132;;Repas Standard
1778;5885;999999;Repas Sans Porc;136;;Repas Standard
1779;1005;661;Repas Halal;20;;Repas Standard
1780;1343;438;Repas Végétarien;5;;Repas vgtarien
1781;3099;427;Repas Standard;124;;Repas Standard
1782;3100;253;Repas Halal;129;;Repas Standard
1783;1525;1643;Repas Standard;47;;Repas Standard
1784;2870;1714;Repas Standard;3;;Repas Standard
1785;6582;262;Repas Halal;98;;Repas Standard
1786;1049;1257;Repas Végétarien;132;;Repas vgtarien
1787;965;1170;Repas Halal;136;;Repas Standard
1788;3101;319;Repas Halal;127;;Repas Standard
1789;3101;319;Repas Halal;128;;Repas Standard
1790;100;740;Repas Halal;73;;Repas Standard
1791;3102;651;Repas Halal;132;;Repas Standard
1792;3103;809;Repas Halal;63;;Repas Standard
1793;3104;742;Repas Sans Porc;132;;Repas Standard
1794;3105;326;Repas Halal;136;;Repas Standard
1795;3106;1078;Repas Standard;131;;Repas Standard
1796;259;983;Repas Standard;133;;Repas Standard
1797;3107;656;Repas Standard;125;;Repas Standard
1798;3108;1489;Repas Standard;136;;Repas Standard
1799;3109;265;Repas Standard;128;;Repas Standard
1800;3110;362;Repas Halal;124;;Repas Standard
1801;2532;464;Repas Halal;39;;Repas Standard
1802;3111;403;Repas Halal;103;;Repas Standard
1803;3111;403;Repas Halal;123;;Repas Standard
1804;3112;241;Repas Standard;131;;Repas Standard
1805;852;1324;Repas Standard;117;;Repas Standard
1806;3114;188;Repas Halal;133;;Repas Standard
1807;3113;680;Repas Standard;136;;Repas Standard
1808;993;1013;Repas Standard;119;;Repas Standard
1809;3115;431;Repas Sans Porc;124;;Repas Standard
1810;3909;590;Repas Halal;42;oui;Repas Standard
1810;3909;624;Repas Halal;78;;Repas Standard
1811;10626;596;Repas Standard;22;oui;Repas Standard
1811;10626;999999;Repas Standard;70;;Repas Standard
1812;3116;410;Repas Sans Porc;61;;Repas Standard
1813;3117;977;Repas Halal;44;;Repas Standard
1814;2934;1666;Repas Standard;130;;Repas Standard
1815;3119;2715;Repas Standard;97;;Repas Standard
1816;3122;446;Panier;15;oui;Panier
1816;3122;446;Repas Standard;104;;Repas Standard
1817;3122;446;Repas Standard;122;;Repas Standard
1818;194;435;Repas Standard;124;;Repas Standard
1819;1507;1365;Repas Standard;67;;Repas Standard
1820;3123;295;Repas Halal;121;;Repas Standard
1821;3124;636;Repas Standard;136;;Repas Standard
1822;3125;3874;Repas Standard;122;;Repas Standard
1823;1324;350;Repas Halal;73;;Repas Standard
1824;1324;350;Repas Halal;75;;Repas Standard
1825;597;302;Repas Halal;26;;Repas Standard
1826;3126;636;Repas Halal;2;;Repas Standard
1827;3127;392;Repas Sans Porc;136;;Repas Standard
1828;414;274;Repas Standard;136;;Repas Standard
1829;2113;1458;Repas Standard;131;;Repas Standard
1830;2113;1458;Repas Standard;131;;Repas Standard
1831;1535;1035;Repas Standard;133;;Repas Standard
1832;3129;1970;Repas Standard;126;;Repas Standard
1833;3131;1664;Repas Standard;135;;Repas Standard
1834;3132;1155;Repas Sans Porc;131;;Repas Standard
1835;7851;378;Repas Halal;114;;Repas Standard
1836;3134;2040;Repas Standard;80;;Repas Standard
1837;3135;1016;Panier;9;oui;Panier
1837;3135;1016;Repas Halal;113;;Repas Standard
1838;1536;972;Repas Standard;3;;Repas Standard
1839;3136;1691;Repas Standard;86;;Repas Standard
1840;663;1796;Repas Standard;132;;Repas Standard
1841;3138;999999;Repas Standard;47;;Repas Standard
1842;3139;999999;Repas Standard;134;;Repas Standard
1843;1737;385;Repas Sans Porc;105;;Repas Standard
1844;3140;693;Repas Standard;114;oui;Repas Standard
1844;3140;693;Repas Végétarien;11;;Repas vgtarien
1845;3142;1;Repas Standard;136;;Repas Standard
1846;3143;421;Repas Standard;66;;Repas Standard
1847;3144;264;Repas Halal;27;;Repas Standard
